Name,type,log_P,Jmag,Hmag,Kmag,fe_h_lit,fe_h,mu_distance,e_mu_distance,R,e_R,notes,ref
AB Cam,DCEP,0.7625,9.418,8.936,8.746,-0.08,-0.11,13.4,0.06,12132,458,c,LIII 
AC Cam,DCEP,0.6188,9.325,8.752,8.499,-0.13,-0.16,12.56,0.06,10675,451,c,LIII 
AD Cam,DCEP,1.0516,8.988,8.363,8.109,-0.25,-0.28,13.59,0.07,12444,460,c,LIII 
AM Cam,CEP,0.6018,10.179,9.517,9.313,-0.13,-0.16,13.28,0.07,11785,456,c,LIII 
CK Cam,DCEP,0.5172,0,0,0,0.07,0.04,8.93,0.13,8486,453,c,LIII 
LO Cam,DCEP,1.1017,0,0,0,-0.05,-0.08,13.03,0.23,11487,587,c,LIII 
MN Cam,DCEP,0.9138,8.219,7.609,7.348,0.01,-0.02,12.37,0.07,10578,454,c,LIII 
MQ Cam,DCEP,0.8195,9.255,8.586,8.31,-0.11,-0.14,12.96,0.06,11447,457,c,LIII 
OX Cam,DCEP,0.705,7.329,6.74,6.478,-0.01,-0.04,10.82,0.06,9152,451,c,LIII 
PV Cam,DCEPS:,0.49,9.749,9.341,9.17,-0.17,-0.2,13.71,0.08,12872,476,c*,LIII 
QS Cam,DCEP,0.7093,9.373,8.804,8.622,-0.22,-0.25,13.03,0.07,11530,458,c,LIII 
RW Cam,DCEP,1.2152,5.817,5.289,5.077,0.11,0.08,11.21,0.05,9414,451,a,LIII 
RX Cam,DCEP,0.8983,5.161,4.726,4.54,0.11,0.08,9.69,0.05,8668,451,a,LIII 
TV Cam,DCEP,0.7239,9.345,8.822,8.653,0.04,0.01,13.16,0.07,11682,457,c,LIII 
V359 Cam,DCEP,0.8195,9.557,9.078,8.864,-0.16,-0.19,13.7,0.06,13026,469,c,LIII 
CN Car,DCEP,0.6931,8.345,7.848,7.704,0.21,0.18,12.14,0.07,7761,426,c,LIII 
CY Car,DCEP,0.63,7.949,7.565,7.43,0.11,0.08,11.74,0.07,7496,434,c,LIII 
DY Car,DCEP,0.6697,9.16,8.729,8.563,0.07,0.04,12.96,0.07,7635,396,c,LIII 
ER Car,DCEP,0.8875,5.36,5.02,4.899,0.15,0.12,10.12,0.05,7641,448,b†,LIII 
EY Car,DCEP,0.4588,8.352,7.953,7.808,-0.17,-0.18,11.53,0.07,7563,437,c,SZI 
FI Car,DCEP,1.129,8.35,7.797,7.502,0.31,0.28,13.28,0.07,7845,380,c,LIII 
FR Car,DCEP,1.0301,7.47,7.012,6.835,0.11,0.08,12.41,0.05,7410,417,b,LIII 
